timeframe,player_id,x,y
1,1,30.5,27
1,2,26.84,11.1
1,3,35.502,16.2
1,4,34.16,11.76
1,5,32.574,7.32
2,1,29.585,27
2,2,26.84,11.55
2,3,35.319,16.2
2,4,34.16,11.22
2,5,33.123,6.69
3,1,28.67,27
3,2,26.84,12
3,3,35.136,16.2
3,4,34.16,10.68
3,5,33.672,6.06
4,1,27.755,27
4,2,26.84,12.45
4,3,34.953,16.2
4,4,34.16,10.14
4,5,34.221,5.43
5,1,26.84,27
5,2,26.84,12.9
5,3,34.77,16.2
5,4,34.16,9.6
5,5,34.77,4.8
6,1,25.925,27
6,2,26.84,13.35
6,3,34.59086685,17.12705098
6,4,34.16,9.06
6,5,35.5569,4.35
7,1,25.01,27
7,2,26.84,13.8
7,3,34.0710022,17.96335576
7,4,34.16,8.52
7,5,36.3438,3.9
8,1,24.095,27
8,2,26.84,14.25
8,3,33.26129402,18.62705098
8,4,34.16,7.98
8,5,37.1307,3.45
9,1,23.546,27.07651816
9,2,26.4984,14.58
9,3,32.2410022,19.05316955
9,4,34.16,7.44
9,5,37.9176,3
10,1,23.18,27.22917961
10,2,25.986,14.85
10,3,31.11,19.2
10,4,34.16,6.9
10,5,38.7045,2.55
11,1,22.814,27.45181224
11,2,25.4736,15.12
11,3,30.195,19.2
11,4,34.16,6.36
11,5,39.4914,2.1
12,1,22.448,27.72836996
12,2,24.9612,15.39
12,3,29.3288,19.29
12,4,34.16,5.82
12,5,40.2783,1.65
13,1,22.082,28.03892008
13,2,24.4488,15.66
13,3,28.5602,19.56
13,4,34.16,5.28
13,5,41.0652,1.2
14,1,21.716,28.36107992
14,2,23.9364,15.93
14,3,27.7916,19.83
14,4,34.648,4.86
14,5,41.8521,0.75
15,1,21.35,28.67163004
15,2,23.424,16.2
15,3,27.023,20.1
15,4,35.38,4.5
15,5,42.639,0.3
16,1,20.984,28.94818776
16,2,22.9116,16.47
16,3,26.2544,20.37
16,4,36.112,4.14
16,5,41.724,0.66
17,1,20.618,29.17082039
17,2,22.3992,16.74
17,3,25.4858,20.64
17,4,36.844,3.78
17,5,40.809,1.02
18,1,20.252,29.32348184
18,2,21.8868,17.01
18,3,24.7172,20.91
18,4,37.576,3.42
18,5,39.894,1.38
19,1,19.886,29.39516915
19,2,21.4964,17.268
19,3,23.9486,21.18
19,4,38.308,3.06
19,5,38.979,1.74
20,1,19.52,29.38071551
20,2,21.167,17.52
20,3,23.18,21.45
20,4,39.04,2.7
20,5,38.064,2.1
21,1,19.40627334,29.38071551
21,2,20.8376,17.772
21,3,22.5212,21.45
21,4,39.772,2.34
21,5,37.149,2.46
22,1,19.13277583,29.38071551
22,2,20.5082,18.024
22,3,21.89048892,21.45591981
22,4,40.504,1.98
22,5,36.234,2.82
23,1,18.72627932,29.38071551
23,2,20.1788,18.276
23,3,21.32349584,21.54425052
23,4,41.236,1.62
23,5,35.319,3.18
24,1,18.22657451,29.38071551
24,2,19.8494,18.528
24,3,20.78337316,21.73551884
24,4,41.968,1.26
24,5,34.404,3.54
25,1,17.68257599,29.38071551
25,2,19.52,18.78
25,3,20.28925498,22.02294902
25,4,42.7,0.9
25,5,33.489,3.9
26,1,17.14753413,29.38071551
26,2,18.99315313,19.15107996
26,3,19.85864569,22.39635868
26,4,41.8399,1.395
26,5,32.574,4.26
27,1,16.67382256,29.38071551
27,2,18.51835866,19.46846027
27,3,19.50679983,22.84251962
27,4,40.9798,1.89
27,5,31.659,4.62
28,1,16.30781145,29.38071551
28,2,18.11243644,19.86772803
28,3,19.24618172,23.34562634
28,4,40.1197,2.385
28,5,30.744,4.98
29,1,16.08532853,29.38071551
29,2,17.78976646,20.33473898
29,3,19.08602389,23.88785606
29,4,39.2596,2.88
29,5,29.829,5.34
30,1,16.02815199,29.38071551
30,2,17.56177946,20.85294902
30,3,19.032,24.45
30,4,38.3995,3.375
30,5,28.914,5.7
31,1,16.21115199,29.29071551
31,2,17.43655199,21.4040003
31,3,19.05120216,25.29321592
31,4,37.5394,3.87
